Serial Number,Deposits 2016
1,1823121.612
2,399088.94
3,355873.5197
4,223088.2671
5,325055.5609
6,259668.5992
7,202649.2707
8,82970.5859
9,159388.0023
10,151154.1836
11,420049.9744
12,273018.1388
13,234918.9826
14,290721.7298
15,364146.6856
16,324827.2956
17,155163.6489
18,500847.5598
19,447653.3754
20,218364.4735
21,474663.7711
22,477857.47
23,467197.4341
24,390644.9754
25,549395.2611
26,487795.0781
27,425365.8424
28,411327.9387
29,349642.9924
30,86784.92614
31,346705.434
32,370356.7783
33,450989.1691
34,458170.1738
35,826373.6183
36,432700.9223
37,415464.385
38,370146.9356
39,535600.0314
40,716095.2016
41,354324.5952
42,355934.7323
43,74747.24225
44,617601.094
45,472424.0121
46,496607.4206
47,190803.28
48,333213.4272
49,356077.7864
50,328901.6672
51,86320.84392
52,330680.477
53,330088.1592
54,460189.0243
55,179296.9419
56,332347.2555
57,455921.7257
58,283859.1886
59,374699.4033
60,319153.5038
61,280522.2076
62,610589.9392
63,205575.6941
64,299782.481
65,453471.8849
66,412805.7912
67,250865.3058
68,590355.6875
69,246444.7664
70,224245.7983
71,220255.8686
72,396646.3444
73,232308.3369
74,379794.8837
75,221008.4738
76,318537.5958
77,234507.7625
78,310212.6676
79,341327.0774
80,254946.7555
81,258122.0661
82,37486.13968
83,291302.1321
84,409368.4027
85,317414.645
86,363066.1792
87,356037.2477
88,256638.6092
89,-81984.22486
90,175619.3689
91,273044.9717
92,523219.9941
93,378743.4304
94,266630.097
95,195638.2696
96,451687.8494
97,343368.25
98,257620.1184
99,344945.5372
100,322565.4627
101,202983.8164
102,336996.3897
103,270290.5632
104,258062.5557
105,222506.7551
106,209499.7594
107,373205.829
108,427229.6452
109,493969.5419
110,273277.8048
111,266970.5681
112,155433.7391
113,267900.9262
114,307625.1054
115,136700.9903
116,237437.1651
117,99868.03989
118,159617.1034
119,223471.398
120,254633.8839
121,281230.2662
122,311618.2844
123,89614.05573
124,532309.0084
125,512017.3346
126,8534.109731
127,222286.0095
128,189812.4793
129,176126.1738
130,286747.0671
131,198241.5476
132,215418.0921
133,289340.0936
134,315962.6844
135,323668.865
136,348774.1103
137,415206.2626
138,231615.6027
139,470814.0278
140,417505.6292
141,238383.4948
142,358259.3924
143,55921.29109
144,138320.6627
145,353065.362
146,450332.4543
147,291423.7814
148,577142.8872
149,449637.9195
150,216722.4007
151,137594.1769
152,80245.14345
153,362815.0985
154,542730.3454
155,1382507.213
156,399013.7085
157,322434.0752
158,247737.1399
159,271420.0386
160,273977.721
161,332376.1199
162,275233.9181
163,317183.8401
164,322469.0291
165,368410.5008
166,246160.7873
167,515761.638
168,325960.674
169,494908.5142
170,78907.41483
171,236102.5793
172,134124.8358
173,294563.2168
174,217252.5613
175,105276.3911
176,217349.9096
177,390545.6987
178,238814.9766
179,332258.3988
180,320718.8213
181,325072.0863
182,320047.0149
183,522013.9496
184,239158.9003
185,304501.3474
186,341644.0711
187,270572.5178
188,179699.3483
189,339919.1387
190,2100.004639
191,257072.1525
192,287838.8748
193,222711.5022
194,378002.8365
195,352237.1082
196,601927.0226
197,175431.2633
198,103660.9849
199,522207.7316
200,657439.4711
201,348066.2534
202,427620.0358
203,183463.8348
204,597179.8512
205,434081.9033
206,496502.5303
207,419473.9318
208,437507.9306
209,500694.3822
210,487357.5266
211,222998.1129
212,293913.0384
213,187137.7024
214,325275.9728
215,303755.4892
216,373070.3075
217,303594.5899
218,226152.3747
219,330557.7859
220,254854.7133
221,229783.3595
222,258334.6473
223,269427.574
224,343560.6863
225,282560.8336
226,410045.4394
227,184456.2803
228,316204.4915
229,323847.2404
230,355479.9203
231,253006.8243
232,468792.5776
233,241165.4192
234,253277.4251
235,394427.6612
236,371050.01
237,238481.8791
238,288475.1972
239,285843.2462
240,382837.7271
241,254251.4039
242,271220.9544
243,347203.5919
244,199489.0632
245,335200.7843
246,407772.2779
247,237811.0301
248,269587.2763
249,152982.4991
250,307852.0922
251,343292.8974
252,342051.5445
253,337736.4311
254,287252.2124
255,286428.4746
256,264058.4712
257,472458.8683
258,253609.8158
259,226172.9555
260,304153.2114
261,283646.6472
262,192832.7133
263,343453.5219
264,256865.0286
265,-1007363.012
266,403694.7446
267,290653.1656
268,439651.1242
269,354555.6474
270,359230.1862
,274251.3267
272,501519.7563
273,106549.4265
274,237810.4843
275,27311.66369
276,-43118.01069
277,-27365.55043
278,74479.66707
279,129471.8565
280,32782.46643
281,198067.2407
282,151779.8905
283,123683.0576
284,209813.242
285,277212.7751
286,101100.276
287,121714.4067
288,103545.9258
289,217661.9354
290,97086.50763
291,-63510.04327
292,123223.947
293,76961.82467
294,35068.44145
295,-299007.7575
296,-25943.13295
297,150076.1058
298,36647.41455
299,214157.1712
300,25326.63702
301,259452.8755
302,86430.55853
303,821.3208831
304,140845.5037
305,240492.9128
306,23367.92238
307,174408.3791
308,121775.1033
