Serial Numer,Deposits 2016
1,1185041101.0737019
2,384506.66470070195
3,294654.3007597632
4,132198.91111501466
5,251113.15221705497
6,165468.62420010375
7,121485.80874721744
8,65427.106562216606
9,94780.0768304726
10,96216.35522727744
11,409066.426436695
12,184889.665321368
13,152638.79726603164
14,207490.76965637773
15,311777.45934220025
16,254557.29479922706
17,88186.31334216133
18,650283.0569235956
19,474381.2964050198
20,138558.50283772397
21,540362.0704130743
22,564123.077327454
23,552826.0293010148
24,340794.51615349937
25,879656.7721378339
26,587716.8593692139
27,430118.8576088688
28,399747.5103555686
29,274243.20855217293
30,64918.70093084772
31,273383.92547823145
32,328308.3946293229
33,492140.6510266078
34,532423.5327398083
35,7770829.130411909
36,447703.8540597159
37,403535.41032243025
38,309955.7702649089
39,791088.0417457327
40,2245280.662109988
41,280030.67549677345
42,283515.24484685727
43,59728.26423675576
44,1215104.1756957297
45,560860.0459975713
46,656310.4202658898
47,117400.10552731797
48,253106.88662668498
49,284652.5544968579
50,245771.58384117685
51,63671.73267467016
52,252421.1470352462
53,254464.7028192731
54,527828.1736359241
55,106242.53704968753
56,218013.39064942018
57,496422.49910275073
58,194324.13465403457
59,320858.7234219513
60,223750.33632898988
61,187824.680526082
62,1209786.6162937698
63,124184.60369574296
64,209194.24838944947
65,509408.2248725331
66,401479.51185640384
67,165958.4717983462
68,1116810.106699537
69,152219.27766642778
70,137070.36764511664
71,136575.32090833216
72,364666.05044642487
73,136639.87334361635
74,329326.0830892918
75,141172.24853564464
76,238227.6992310181
77,146566.21101856374
78,215107.21332524894
79,267434.73680512694
80,164766.55920039891
81,168243.9407978759
82,49367.774381938536
83,199690.54397976835
84,393676.0233954605
85,239239.66021001336
86,312299.2031964064
87,294970.07303346205
88,168598.1310970758
89,27287.51284849076
90,106655.15996424592
91,181631.10478765247
92,758257.4663574426
93,346436.61968375393
94,147940.4146173126
95,118610.6825399781
96,520422.9403098896
97,280710.983181925
98,172433.87775389984
99,272549.35244527744
100,244304.67095203567
101,118331.98499915036
102,260557.799962618
103,189084.2786177993
104,171894.8777702708
105,138083.02258741963
106,131723.46564093273
107,304248.3985992206
108,421447.8746846887
109,620156.8964258049
110,185996.90824280208
111,172053.88047952112
112,93392.66632134083
113,183239.71838960782
114,231527.33078602672
115,88413.71481751683
116,144645.5311161489
117,69063.97912717395
118,93705.87388270133
119,140064.6642811173
120,168984.65879446134
121,133163.3966825638
122,233134.24394882793
123,65247.84245896232
124,737706.1783763762
125,682462.311223873
126,42462.82935621532
127,143283.57232036965
128,116237.57957150851
129,100701.8224611925
130,192579.2370366715
131,117674.47324499843
132,140836.08356275538
133,185458.77616472548
134,227901.3614648367
135,241417.30733737856
136,277766.1869205688
137,401562.27642919903
138,145047.24768719016
139,479968.57744007773
140,402631.9477696586
141,154000.28065580493
142,291274.5236629049
143,57229.85970500287
144,81282.64822063188
145,273383.82643691794
146,493159.88287802134
147,184863.08527243065
148,1007883.4834012447
149,475606.9610754774
150,127891.006091536
151,88515.12593340347
152,69173.61334872563
153,295765.5512314176
154,854472.777357252
155,93634538.15382831
156,392553.09291174676
157,230739.67770188162
158,157811.1276764675
159,181702.87850518685
160,188892.83093656332
161,263388.79733198456
162,179185.0255834462
163,234614.27719544186
164,236660.90978926516
165,308149.14360737917
166,155580.7476311173
167,714149.0599207445
168,243782.35924406126
169,643931.1885008715
170,59813.31916029188
171,148858.0662848083
172,83529.72376048341
173,209849.97323329604
174,135167.75978720022
175,73809.30383672041
176,139453.75556327423
177,358290.2656194392
178,148044.79816996228
179,254575.04232442268
180,248714.5355712874
181,240111.80415750365
182,230632.8139455418
183,748210.0959296228
184,148564.17459814745
185,210955.8603977136
186,266197.2429991316
187,176424.27811275053
188,111292.6096635978
189,266175.2312640585
190,42513.323771088406
191,169936.2987246362
192,198423.50584559818
193,138556.26290847937
194,333966.71151445725
195,274175.0155464759
196,1200860.3693443062
197,99075.4157045786
198,72932.62349259501
199,759252.8245492424
200,1545070.1060925596
201,279648.91933879186
202,400349.4916884685
203,30032.525529510287
204,1131529.3526178952
205,461120.1427987632
206,660865.0139107192
207,424597.798738361
208,482575.8407878495
209,641687.1356481315
210,613245.3888339454
211,139573.06817381657
212,198168.01480651347
213,112264.18186738237
214,241404.3027388831
215,225370.95813170425
216,317514.9080797321
217,214303.84901949862
218,140658.7682545336
219,247247.36648103088
220,161362.6458341021
221,139533.35311858574
222,152088.0490001538
223,171947.4653318626
224,270746.9675858616
225,188283.1331771546
226,383948.23839721776
227,109483.04524225672
228,230132.59004388418
229,261568.2160053028
230,308531.6479758813
231,161356.96266126243
232,535341.9327080016
233,153596.7556870549
234,162628.67965948084
235,350743.39442537446
236,307548.33807248325
237,153867.82028825235
238,206301.37270885662
239,198785.16264486636
240,337867.8441201767
241,171163.17141628292
242,175152.36964271322
243,277356.0492058622
244,122497.3244045164
245,262465.0336020806
246,372093.0148554538
247,147494.30191391322
248,178393.39726163112
249,98005.94863016263
250,222002.61128041687
251,274638.75008373125
252,258491.43350950582
253,251600.7568806326
254,178065.24636340485
255,198264.73811046727
256,177622.53024600842
257,566668.9899393375
258,166347.7642582363
259,139576.14217822117
260,218934.3959381372
261,200532.84024366245
262,112602.96241787399
263,281915.2887236568
264,154587.60045010762
265,2504.404014338298
266,387685.6006049412
267,195651.95420151053
268,461704.36070450983
269,274567.8983152052
270,299036.9601401715
271,2369.913017326071
272,183179.62583017183
273,516181.32476366183
274,71482.38260673228
275,150423.61013008695
276,45099.33279510789
277,33083.849856044544
278,37266.42198386963
279,59106.10356967557
280,81360.85402624172
281,47211.74832864562
282,115402.86325178115
283,95330.98522365702
284,77122.62155774623
285,126762.70048375844
286,179942.1742915808
287,70284.18431948638
288,78859.51956654518
289,83173.03208404238
290,132340.24877533474
291,68762.80405384587
292,28875.089685620664
293,81210.6010970771
294,60349.59699336522
295,49755.86252615686
296,9832.038628539023
297,36382.45003212445
298,87638.57045395681
299,49029.690115845195
300,124813.27564883116
301,42814.65105210795
302,166173.42784315193
303,67971.51810914962
304,40249.47977227051
305,82148.86523986325
306,152937.77753759024
307,45248.81793645664
308,98861.83862982542
309,2369.913017326071
310,79457.5306419443
311,106683.87710340013
312,241174.0874079796
313,247892.83519373077
314,104428.4866971492
315,23891.456251161926
316,282026.7002494536
317,47482.35612817781
318,76292.82034063444
319,151893.10835283398
320,102223.91559351454
321,147799.83024577846
322,120358.58320166427
323,84455.42909756475
324,99350.11490936542
325,199173.09543280205
326,94560.95026133914
327,222389.69290601317
328,156645.78582142718
329,145698.3283755601
330,43175.496942474
331,120699.18585308365
332,94611.36826471137
333,429162.63263650204
334,2369.913017326071
335,238371.90385197967
336,166351.76379870958
337,361329.5410436009
338,300819.78661292006
339,178277.88787206964
340,317297.5071460061
341,81862.7913083389
342,194851.4142909137
343,157925.84351498913
344,147759.40276697683
345,504708.0010764583
346,88438.62751587678
347,206492.34978528394
348,259883.37004666188
349,207488.26389499815
350,153156.3719037505
351,112393.82690416317
352,208525.28425260534
353,300484.3736056438
354,57213.53565912373
355,235103.43422781056
356,61142.8057293755
357,143387.88015224418
358,123490.17709391075
359,199295.91940981388
360,115486.32529993655
361,356554.5612367628
362,84426.66421621421
363,210445.47815682154
364,261774.92200618982
365,218026.93512936102
366,315934.6375893457
367,1988218.9701370948
368,2369.913017326071
369,2369.913017326071
370,2369.913017326071
371,2369.913017326071
372,2369.913017326071
373,6354.594160287537
374,2369.913017326071
375,2369.913017326071
376,2369.913017326071
377,2369.913017326071
378,2369.913017326071
379,2369.913017326071
380,19535.13795624535
381,43231.18931697637
382,2369.913017326071
383,2369.913017326071
384,2369.913017326071
385,2369.913017326071
386,2369.913017326071
387,2369.913017326071
388,2369.913017326071
389,2369.913017326071
390,2369.913017326071
391,2369.913017326071
392,2369.913017326071
393,52874.35965693822
394,2369.913017326071
395,35865.71854300989
396,66527060.28825139
397,2369.913017326071
398,246566.93566684535
399,2369.913017326071
400,371109.0805506957
401,386546.6095226621
402,195015.30060899886
403,295862.0416284967
404,225176.52174640787
405,2369.913017326071
406,370409.5874058907
407,2369.913017326071
408,457516.19192599057
409,2369.913017326071
410,130672.46875437594
411,428755.30003753764
412,395476.2287369133
413,379689.40863221674
414,207634.3716557969
415,611231.4820385304
416,229799.84888943826
417,216489.97302835635
418,173452.94138718903
