Serial Number,bonds_aaa
1,0
2,0
3,78.67
4,25.74
5,0
6,0
7,13.2
8,42
9,48.83
10,0
11,0
12,0
13,51
14,0
15,0
16,0
17,0
18,0
19,0
20,11.71
21,0
22,0.15
23,0.15
24,0
25,0.15
26,0.15
27,0
28,0.15
29,0
30,0
31,0
32,0.15
33,4.45
34,0
35,0
36,0
37,0
38,77.7
39,43.5
40,18.27
41,11.71
42,18.27
43,0
44,0
45,0
46,0
47,0
48,30.08
49,82.01
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,48.7
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,11.71
72,0
73,-0.57
74,0
75,0
76,0
77,11.71
78,0
79,0
80,0
81,0
82,0
83,0
84,1.45
85,0
86,0
87,0
88,0
89,0
90,0
91,47.65
92,0
93,47.65
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,80.89
103,80.89
104,93.7
105,0
106,0
107,0
108,0
109,0
110,26.17
111,23.76
112,23.76
113,29.09
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,5.17
122,0
123,0
124,61.47
125,0
126,32.99
127,0
128,0
129,0
130,0
131,34.55
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,29.09
141,5.17
142,49.51
143,49.51
144,49.51
145,64.61
146,64.61
147,0
148,64.61
149,64.61
150,64.61
151,64.61
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,32.99
162,32.99
163,0
164,32.99
165,33.62
166,32.99
167,32.99
168,1.21
169,3.56
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,100
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,5.17
188,0
189,33.62
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,12.85
198,23.76
199,23.76
200,0
201,0
202,23.76
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,64.61
219,0
220,0
221,0
222,64.61
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,100.18
236,0
237,0
238,76.5
239,76.5
240,0
241,0
242,98.1
243,0
