Serial Number,bonds_aaa
1,0
2,0
3,8.239
4,48.63
5,25.21
6,0
7,53.585
8,37.605
9,19.089
10,0
11,0
12,0
13,13.481
14,4.603
15,4.603
16,0
17,0
18,0
19,17.787
20,6.485
21,0
22,18.73
23,17.653
24,17.658
25,18.73
26,19.706
27,0
28,19.706
29,0
30,0
31,-0.057
32,16.368
33,11.211
34,0
35,0
36,0
37,0
38,0
39,48.603
40,42.638
41,12.042
42,5.253
43,4.193
44,6.326
45,0
46,0
47,0
48,0
49,67.985
50,0
51,17.564
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,39.121
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,12.921
73,0
74,-0.57
75,0.388
76,0
77,0
78,6.245
79,0
80,6.326
81,25.529
82,0
83,0
84,0
85,9.876
86,0
87,0
88,24.83
89,26.949
90,17.558
91,0
92,12.641
93,0
94,8.553
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,63.708
104,37
105,83.3
106,2.909
107,0
108,2.909
109,2.909
110,2.909
111,24.873
112,47.731
113,47.575
114,6.078
115,0
116,1.481
117,0
118,0
119,0
120,0
121,0
122,5.381
123,0
124,0
125,62.655
126,0
127,28.476
128,0
129,0
130,0
131,0
132,14.791
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,7.432
142,7.11
143,39.623
144,39.623
145,44.574
146,50.291
147,51.085
148,0
149,51.085
150,47.74
151,46.632
152,51.085
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,35.147
163,40.292
164,0
165,29.721
166,26.85
167,21.599
168,35.147
169,4.239
170,3.022
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,95.896
180,0
181,0
182,0.014
183,0
184,0
185,0
186,0
187,0
188,6.314
189,0
190,26.85
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,27.059
199,47.575
200,48.597
201,0
202,3.45
203,48.597
204,27.695
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,4.603
218,0
219,50.291
220,3.45
221,3.45
222,0
223,47.74
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
