Serial Number,Deposits 2016
1,177158
2,177158
3,177158
4,131084
5,177158
6,217044
7,128058
8,65208
9,91872
10,97376
11,177158
12,177158
13,145323
14,177158
15,177158
16,177158
17,81917
18,177158
19,177158
20,140616
21,177158
22,177158
23,177158
24,177158
25,177158
26,177158
27,177158
28,177158
29,177158
30,65208
31,177158
32,177158
33,177158
34,177158
35,177158
36,177158
37,177158
38,177158
39,177158
40,177158
41,177158
42,177158
43,61977
44,177158
45,177158
46,177158
47,113560
48,177158
49,177158
50,177158
51,62708
52,177158
53,177158
54,177158
55,106759
56,181757
57,177158
58,183659
59,177158
60,177158
61,177158
62,177158
63,110424
64,177158
65,177158
66,177158
67,165758
68,177158
69,137067
70,134662
71,129143
72,177158
73,142630
74,177158
75,150074
76,177158
77,149308
78,177158
79,177158
80,171325
81,172648
82,48192
83,177158
84,177158
85,177158
86,177158
87,177158
88,217044
89,24549
90,100680
91,177158
92,177158
93,177158
94,148074
95,122659
96,177158
97,177158
98,162993
99,177158
100,177158
101,134801
102,177158
103,177158
104,172648
105,140616
106,121149
107,177158
108,177158
109,177158
110,177158
111,162993
112,90431
113,177158
114,177158
115,89017
116,158034
117,65936
118,86075
119,134546
120,217044
121,134662
122,177158
123,65208
124,177158
125,177158
126,37943
127,145953
128,114029
129,106176
130,177158
131,121329
132,150074
133,177158
134,177158
135,177158
136,177158
137,177158
138,139716
139,177158
140,177158
141,157396
142,177158
143,52779
144,72595
145,177158
146,177158
147,181757
148,177158
149,177158
150,129833
151,86669
152,61292
153,177158
154,177158
155,177158
156,177158
157,177158
158,154070
159,181757
160,177158
161,177158
162,177158
163,177158
164,177158
165,177158
166,155699
167,177158
168,177158
169,177158
170,58913
171,149308
172,75890
173,177158
174,132342
175,72644
176,150074
177,177158
178,151886
179,177158
180,177158
181,177158
182,177158
183,177158
184,149308
185,177158
186,177158
187,177158
188,106362
189,177158
190,37943
191,170762
192,177158
193,149383
194,177158
195,177158
196,177158
197,94213
198,73709
199,177158
200,177158
201,177158
202,177158
203,65085
204,177158
205,177158
206,177158
207,177158
208,177158
209,177158
210,177158
211,150074
212,181757
213,106416
214,177158
215,177158
216,177158
217,177158
218,127319
219,177158
220,156022
221,155649
222,137067
223,172648
224,177158
225,177158
226,177158
227,107203
228,177158
229,177158
230,177158
231,169393
232,177158
233,137067
234,156022
235,177158
236,177158
237,148365
238,177158
239,177158
240,177158
241,217044
242,182827
243,177158
244,127612
245,177158
246,177158
247,148074
248,181757
249,102898
250,177158
251,177158
252,181757
253,177158
254,177158
255,177158
256,177158
257,177158
258,165758
259,127319
260,177158
261,177158
262,106946
263,177158
264,167325
265,0
266,177158
267,177158
268,177158
269,177158
270,177158
271,0
272,181757
273,177158
274,67041
275,153170
276,43194
277,29424
278,44154
279,68718
280,80292
281,40156
282,125937
283,84104
284,73186
285,129833
286,177158
287,67177
288,76595
289,82380
290,120530
291,60341
292,26994
293,80026
294,61016
295,46541
296,6939
297,35602
298,81488
299,46166
300,195495
301,37493
302,172881
303,69847
304,36912
305,87868
306,153952
307,46597
308,85607
309,0
310,81805
311,111508
312,177158
313,177158
314,94323
315,19932
316,177158
317,46400
318,71174
319,144978
320,91046
321,149308
322,112301
323,110641
324,85607
325,177158
326,94382
327,177158
328,154070
329,148229
330,37493
331,109528
332,97376
333,177158
334,0
335,177158
336,157955
337,177158
338,177158
339,177158
340,177158
341,77883
342,177158
343,142493
344,149308
345,177158
346,87959
347,177158
348,177158
349,177158
350,153170
351,106416
352,177158
353,177158
354,54426
355,177158
356,61016
357,148586
358,122101
359,177158
360,114678
361,177158
362,110641
363,177158
364,177158
365,177158
366,177158
367,177158
368,0
369,0
370,0
371,0
372,0
373,6141
374,0
375,0
376,0
377,0
378,0
379,0
380,17974
381,42705
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,48191
394,0
395,32924
396,177158
397,0
398,177158
399,0
400,177158
401,177158
402,177158
403,177158
404,177158
405,0
406,177158
407,0
408,177158
409,0
410,128546
411,177158
412,177158
413,177158
414,177158
415,177158
416,177158
417,177158
418,162993
419,177158
420,177158
421,177158
422,177158
423,102898
424,177158
425,121313
426,177158
427,177158
428,177158
429,177158
430,177158
431,177158
432,177158
433,135938
434,0
435,177158
436,177158
437,54040
438,177158
439,0
440,48654
441,149308
442,177158
443,177158
444,95359
445,43181
446,177158
447,123554
448,104878
449,177158
450,0
451,177158
452,177158
453,102898
454,0
455,145953
456,177158
457,129334
458,0
459,169393
460,177158
461,177158
462,0
463,143482
464,161120
465,106789
466,62044
467,0
468,153952
469,0
470,155699
471,60341
472,177158
473,0
474,79208
475,177158
476,64781
477,0
478,132548
479,182827
480,131196
481,71174
482,0
483,69225
484,177158
485,83485
486,75890
487,132374
488,129833
489,156809
490,137565
491,119972
492,91517
493,55564
494,55763
495,177158
496,59837
497,19932
498,38385
499,177158
500,165128
501,181757
502,83004
503,181757
504,72644
505,0
506,177158
507,177158
508,166175
509,106955
510,177158
511,101359
512,45477
513,150436
514,181757
515,33499
516,26313
517,30364
518,0
519,0
520,18279
521,0
522,177158
523,165758
524,31452
525,102898
526,26313
527,54367
528,181757
529,177158
530,177158
531,79779
532,159284
533,61876
534,75197
535,181757
536,178611
537,46541
538,35602
539,85607
540,57389
541,78091
542,181757
543,97376
544,177158
545,61448
546,51345
547,177158
548,45150
549,47933
550,181757
551,43181
552,106416
553,71251
554,177158
555,181757
556,125855
557,41381
558,66107
559,86481
560,153952
561,12509
562,97376
563,28914
564,67177
565,28914
566,55710
567,40156
568,50641
569,44220
570,49258
571,82445
572,72888
573,38374
574,177158
575,73694
576,0
577,0
578,18279
579,181757
580,0
581,146763
582,52208
583,79325
584,75450
585,46217
586,104254
587,90431
588,39803
589,63468
590,55838
591,48824
592,69167
593,100908
594,135190
595,114003
596,37943
597,102520
598,26313
599,60613
600,105126
601,141270
602,95185
603,79073
604,72966
605,137976
606,102898
607,42873
608,77883
609,25574
610,28054
611,71561
612,28191
613,75858
614,6141
615,74876
616,41917
617,102520
618,177158
619,32426
620,62495
621,58598
622,39996
623,106176
624,70304
625,63576
626,91204
627,74273
628,38553
629,71756
630,80623
631,44220
632,34042
633,58913
634,56715
635,37564
636,181757
637,45926
638,79073
639,104071
640,181757
641,46217
642,35361
643,105126
644,51017
645,46400
646,40099
647,85944
648,41557
649,43711
650,48868
651,158468
652,44330
653,69167
654,27270
655,52247
656,89546
657,121313
658,62501
659,28914
660,11323
661,111314
662,42873
663,69847
664,60344
665,60344
666,57788
667,31927
668,45090
669,80292
670,44616
671,32036
672,41678
673,108562
674,100643
675,28408
676,41678
677,39996
678,56218
679,16373
680,14265
681,91517
682,22954
683,38360
684,218912
685,22954
686,121997
687,46217
688,42827
689,41678
690,49951
691,50128
692,82216
693,41917
694,39694
695,50930
696,48239
697,26994
698,69135
699,83742
700,36266
701,85996
702,62561
703,24966
704,67474
705,30163
706,36912
707,177158
708,27672
709,69201
710,61448
711,66892
712,31478
713,47484
714,39104
715,34633
716,56490
717,22564
718,57788
719,22630
720,150074
721,6141
722,34042
723,177158
724,60344
725,62708
726,26383
727,70485
728,38385
729,0
730,56490
731,37605
732,44084
733,36611
734,45123
735,0
736,83790
737,177158
738,37572
739,0
740,22200
741,39694
742,47933
743,88428
744,27427
745,43711
746,170762
747,13741
748,94213
749,28914
750,37943
751,54040
752,47342
753,128546
754,42581
755,83790
756,55500
757,67177
758,76595
759,55500
760,32515
761,56295
762,34867
763,53600
764,48868
765,45090
766,54426
767,18179
768,148229
769,69135
770,70304
771,79073
772,49232
773,182827
774,177158
775,74528
776,106416
777,134662
778,0
779,181757
780,65561
781,177158
782,81283
783,30390
784,108333
785,57389
786,63088
787,62708
788,150074
789,177158
790,65389
791,30163
792,29042
793,55500
794,0
795,26313
796,217044
797,0
798,78185
799,91517
800,58329
801,56218
802,39694
803,26221
804,66710
805,0
806,28856
807,39803
808,0
809,40411
810,56712
811,62501
812,45129
813,43356
814,83485
815,177158
816,181757
817,0
818,0
819,67230
820,177158
821,177158
822,177158
823,177158
824,177158
825,177158
826,99399
827,134662
828,57389
829,177158
830,76595
831,177158
832,177158
833,177158
834,177158
835,177158
836,177158
837,87959
838,159284
839,109162
840,121653
841,177158
842,177158
843,132493
844,177158
845,177158
846,177158
847,177158
848,0
849,177158
850,0
851,177158
852,181757
853,171325
854,177158
855,177158
856,177158
857,99501
858,177158
859,177158
860,177158
861,177158
862,0
863,177158
864,126029
865,177158
866,177158
867,177158
868,177158
869,121149
870,177158
871,177158
872,177158
873,177158
874,177158
875,48192
876,89017
877,155649
878,177158
879,217044
880,57389
881,177158
882,177158
883,177158
884,116847
885,177158
886,106946
887,177158
888,132548
889,177158
890,177158
891,0
892,181757
893,177158
894,181757
895,177158
896,177158
897,106103
898,6141
899,177158
900,129833
901,177158
902,177158
903,177158
904,61524
905,111511
906,54203
907,62501
908,109291
909,129833
910,49607
911,111314
912,177158
913,27749
914,51231
915,71561
916,116847
917,181757
918,81649
919,181757
920,177158
921,67501
922,177158
923,125855
924,177158
925,142493
926,177158
927,83452
928,69847
929,61978
930,126596
931,181757
932,87321
933,177158
934,0
935,177158
936,177158
937,64386
938,55710
939,177158
940,14322
941,78688
942,177158
943,38385
944,43128
945,28408
946,49909
947,25548
948,107255
949,26221
950,54040
951,64156
952,0
953,42056
954,38709
955,79073
956,177158
957,39523
958,165758
959,64440
960,26221
961,81369
962,62044
963,41381
964,103719
965,55803
966,89030
967,72595
968,126928
969,72644
970,29424
971,183659
972,37686
973,43892
974,38385
975,49581
976,17162
977,45084
978,56986
979,46541
980,68109
981,67866
982,36912
983,57504
984,0
985,28054
986,31478
987,37943
988,87534
989,34597
990,45080
991,35602
992,106881
993,72888
994,68776
995,86200
996,127863
997,105724
998,105000
999,78033
1000,39292
1001,37943
1002,177158
1003,53356
1004,74248
1005,33426
1006,23790
1007,129536
1008,53999
1009,106395
1010,56715
1011,14322
1012,0
1013,158843
1014,55500
1015,174358
1016,142493
1017,69731
1018,177158
1019,45084
1020,11323
1021,80292
1022,131705
1023,177158
1024,78091
1025,195495
1026,145601
1027,177158
1028,60221
1029,107206
1030,177158
1031,142674
1032,121313
1033,157955
1034,144053
1035,85944
1036,171325
1037,63607
1038,177158
1039,85607
1040,0
1041,121149
1042,177158
1043,51333
1044,22954
1045,80292
1046,17131
1047,38374
1048,49287
1049,22978
1050,66710
1051,119879
1052,177158
1053,24966
1054,26221
1055,52826
1056,86864
1057,14220
1058,48239
1059,51535
1060,16373
1061,48654
1062,140866
1063,34867
1064,24966
1065,49439
1066,24549
1067,111511
1068,62561
1069,100012
1070,37572
1071,57694
1072,70016
1073,80521
1074,44154
1075,32924
1076,0
1077,33251
1078,181757
1079,60341
1080,118225
1081,177158
1082,0
1083,165758
1084,0
1085,177158
1086,98056
1087,67230
1088,94213
1089,177158
1090,86091
1091,177158
1092,139716
1093,129547
1094,121149
1095,177158
1096,161294
1097,0
1098,0
1099,142630
1100,71756
1101,0
1102,157231
1103,177158
1104,177158
1105,177158
1106,76722
1107,84802
1108,177158
1109,177158
1110,0
1111,161120
1112,177158
1113,158573
1114,78091
1115,177158
1116,0
1117,74065
1118,177158
1119,0
1120,134148
1121,129833
1122,177158
1123,120905
1124,57434
1125,161120
1126,177158
1127,135066
1128,177158
1129,178611
1130,67177
1131,113560
1132,35361
1133,145783
1134,124105
1135,101359
1136,64150
1137,65389
1138,143406
1139,128187
1140,144806
1141,177158
1142,134662
1143,177158
1144,177158
1145,156022
1146,129143
1147,106789
1148,73336
1149,50128
1150,23653
1151,26313
1152,17162
1153,105574
1154,40623
1155,74981
1156,63607
1157,73949
1158,54520
