serial number,credit_amount
1,2427.01538019096
2,1670.1072286760411
3,2506.2282108380678
4,2282.6614415288313
5,2533.4821316934776
6,4317.540234659729
7,1242.71333164434
8,1399.9372442819813
9,8450.527557249874
10,3146.8559693772463
11,3397.8056244424342
12,1189.6161193444682
13,4578.385364773666
14,1465.301938614136
15,3255.03781518932
16,3315.5349245228435
17,1249.1522442577116
18,4252.377661592882
19,6201.4750524771625
20,337.1981508629574
21,2001.6330379114793
22,1063.5105459229012
23,2307.176224517735
24,807.4917916934091
25,4856.425764974257
26,1762.7385927880177
27,2556.8480111757826
28,5079.622204222318
29,5135.613942650044
30,6562.8253374951455
31,3927.5321169665267
32,2696.4502026947566
33,4519.285498070132
34,4205.533794415667
35,1373.59109452521
36,3265.090895432521
37,2187.6817637301488
38,2740.9801076851236
39,3573.7905059120444
40,1307.4932975961337
41,2089.2308774293606
42,3789.260510037633
43,1195.732926527803
44,4192.328584556037
45,2160.1326041527504
46,5650.045648454725
47,3753.1514444681115
48,777.459523473131
49,2011.1560165029148
50,760.2472807430127
51,-158.7929658594344
52,5508.303822070014
53,4211.2383103246175
54,3691.483463108065
55,4263.369890935446
56,1904.9179030925015
57,1353.7226241014118
58,4408.29328933278
59,2723.7376466606734
60,2048.515746887142
61,2367.8553329491338
62,3607.5002155696757
63,2019.0076140352205
64,2497.934129109067
65,2362.1905865915355
66,2307.260495890931
67,1737.838678028907
68,2575.6369276998394
69,3042.6652353273585
70,736.4836546301526
71,4195.5207180309035
72,1078.3367743194299
73,3188.524772877263
74,481.7119099502647
75,4347.591952910185
76,1713.734736387236
77,7462.524727634438
78,1559.5526428972034
79,5815.481737075108
80,3749.118331655674
81,5952.006797760507
82,7120.564966507
83,1908.7494304010218
84,715.1039719075256
85,4287.07712720914
86,1293.035960489558
87,5428.2174353617975
88,5261.451043235344
89,3441.605718439375
90,4957.616564640559
91,3891.7581153019487
92,2613.7764086530783
93,1104.7712243399951
94,5433.4933353669385
95,3509.5680810209597
96,7236.59238092955
97,3247.195803278334
98,1307.216561916528
99,3162.6595564661907
100,4684.646453368093
101,2848.5175382901484
102,4284.536471563096
103,5729.959812920113
104,2095.581994655291
105,2606.45669789448
106,4118.419979218228
107,3976.120160536519
108,3309.346364565283
109,5099.901967610003
110,3491.4471934298963
111,1383.924955751432
112,3465.424632774514
113,3197.837881699952
114,3646.157036342802
115,3761.4077177790127
116,6996.220350789412
117,5643.407014939294
118,5340.626728560264
119,3328.4599442999734
120,3158.1947155745565
121,2156.6131186625407
122,4370.340560410742
123,1948.8428814011727
124,3804.3758881647664
125,4496.459232581775
126,3623.732251419408
127,1641.4402202563986
128,5443.283948455919
129,3264.2886788327523
130,1913.307478901821
131,2994.6443655730272
132,3240.1508620300683
133,1864.7392576048546
134,1854.4250070731082
135,1325.8152538083323
136,4843.461626680961
137,523.1278340414951
138,3784.432042667019
139,3414.0388459609917
140,6719.05045091481
141,5665.941690519487
142,1270.413562165089
143,4070.7500924482674
144,2503.85498627783
145,1221.4617481195235
146,4783.131363070613
147,4641.95323660451
148,4851.333726273898
149,2732.2279250339743
150,2746.255972007207
151,3012.669879446831
152,5591.66870826417
153,3597.620172308545
154,3255.0805212987116
155,1875.250013807434
156,2177.4496065471103
157,1185.9790242371066
158,2327.413912018236
159,2648.5342018491324
160,3346.98699788433
161,994.9647994021047
162,4389.869024608603
163,3764.875069327073
164,2507.4045332730275
165,2433.250146016321
166,2609.5581276152025
167,1864.0830191591247
168,2567.575559397129
169,3840.5524237394907
170,2947.762902649717
171,1702.5349074257128
172,3436.7101946368725
173,4392.631843314001
174,3848.4859434553346
175,2590.125119260216
176,917.7566654265024
177,1945.241257490984
178,3613.6151390707087
179,2198.8831307101746
180,2975.351248724667
181,3711.9279065857854
182,4639.164982071032
183,4169.646868364527
184,4129.3115355477485
185,3259.2832021407944
186,1296.702739971754
187,4208.419578835856
188,1718.5056464252082
189,6048.953297492659
190,1727.5085491031105
191,3665.2060981138216
192,1976.8795959382255
193,3109.9657407662344
194,3571.1702617908586
195,3240.245897450324
196,1632.5912995563526
197,4798.34224913776
198,1580.0118205255687
199,4167.877933247645
200,4348.236571176017
