serial number,credit_amount
1,2279.992795497461
2,2277.147262502861
3,2279.2843451153312
4,2279.3680217342016
5,2279.4228354245556
6,2282.2292370900013
7,2273.752324792786
8,2275.3598975095383
9,2286.1703427743064
10,2279.6098500214903
11,2276.8666910283578
12,2274.929574300992
13,2286.474602870615
14,2278.3675754162346
15,2283.0739585489437
16,2278.96427659568
17,2279.4873544388215
18,2281.275012356952
19,2281.0674555115265
20,2271.4064607125247
21,2270.763545191363
22,2275.757604618814
23,2281.358262110995
24,2269.9004471340863
25,2282.841034315856
26,2275.0446162549283
27,2278.539193247159
28,2283.5399497831154
29,2288.717128573185
30,2286.601607366669
31,2284.4655972937708
32,2277.0673220337794
33,2285.6271321341433
34,2282.7086266342258
35,2273.69603333236
36,2281.5740052954993
37,2275.219947400795
38,2277.6460794870177
39,2284.2110612513043
40,2277.2518624106056
41,2278.9724600136137
42,2280.9036711582444
43,2277.7273018924493
44,2283.4572050164493
45,2281.0789443485023
46,2286.848511050862
47,2281.5934284225423
48,2269.115005843366
49,2276.38633499287
50,2276.2694373156487
51,2278.638668714338
52,2287.2486391024895
53,2281.7928528854727
54,2280.5859899454094
55,2283.9877976478315
56,2274.1341422482406
57,2278.846667573106
58,2283.3163693930255
59,2274.4357492096747
60,2279.066753594768
61,2279.682255953941
62,2280.342437981402
63,2273.729612686287
64,2279.32204938878
65,2277.016180162455
66,2281.221862192686
67,2277.1709194560476
68,2281.6056226828177
69,2282.050339647095
70,2278.642987650875
71,2283.228915408446
72,2277.016669629736
73,2279.7265692983156
74,2278.556483456461
75,2280.3882446977327
76,2276.0721481762353
77,2282.096227217021
78,2277.640091980917
79,2285.9155042547
80,2279.9538348736364
81,2291.5452393806277
82,2286.148503777058
83,2275.500380303435
84,2277.867122884899
85,2282.996039554622
86,2274.0312770873893
87,2284.800080001889
88,2286.6530025734537
89,2281.524032437167
90,2281.2677719368885
91,2281.9703198501347
92,2279.9712141371547
93,2276.071141577082
94,2288.6414636008158
95,2278.673297579633
96,2285.272638307428
97,2279.8361242394917
98,2277.9754594471524
99,2279.785846525148
100,2282.2138090659537
101,2280.6395633744364
102,2279.257216687239
103,2288.277207479935
104,2274.0024135277927
105,2278.5436948984366
106,2281.072397779233
107,2279.377021753375
108,2277.514164967142
109,2282.261627044991
110,2274.8087995351425
111,2272.3047101135944
112,2278.984432716549
113,2280.5934627078295
114,2280.3517853817175
115,2281.7444111991804
116,2280.735552166225
117,2282.2906615604365
118,2286.1064244099075
119,2280.9066571474254
120,2283.6283486637344
121,2273.753938241129
122,2283.478984526961
123,2277.1707640934796
124,2283.0336996426963
125,2281.0978947729554
126,2280.3931118899927
127,2277.781030516654
128,2284.753527602498
129,2283.112812424653
130,2274.7556833547264
131,2279.3496154033496
132,2277.9728005374072
133,2270.808534104409
134,2279.705244929092
135,2274.9944696779366
136,2281.61783798689
137,2271.433901928873
138,2280.395054438894
139,2281.173702796046
140,2289.27343949876
141,2284.0751312201887
142,2273.5113217325584
143,2282.923928462828
144,2274.5353028547984
145,2278.8269162889424
146,2281.546472947066
147,2283.1635435190856
148,2284.407843822714
149,2278.5947919582923
150,2282.259118844309
151,2280.403666427241
152,2286.8146398202907
153,2284.0294555844634
154,2281.4704937981287
155,2276.85313682044
156,2279.8285454218676
157,2278.9592947532838
158,2274.3640592261377
159,2274.1248133514237
160,2284.014906962568
161,2273.055627555511
162,2280.932856142767
163,2279.0789411218766
164,2282.6984250115797
165,2278.6777571891607
166,2276.3787673668035
167,2275.569471838192
168,2280.668480421096
169,2279.5365868793115
170,2274.2594609048033
171,2279.305804036795
172,2278.2683238430677
173,2280.443109918508
174,2282.50071750474
175,2274.281533180573
176,2276.858012908392
177,2275.5812929924946
178,2283.4219175266667
179,2278.1295982772353
180,2279.0366245333216
181,2281.6248866909336
182,2284.9150729377156
183,2280.9113740469893
184,2285.0101011259894
185,2278.2676810516646
186,2275.881189708172
187,2281.6947736716056
188,2276.4459284096
189,2289.3742759030506
190,2273.764980268609
191,2277.9824520769935
192,2279.0943239708204
193,2278.029804502998
194,2282.6709015583688
195,2281.576061447198
196,2273.855014823158
197,2283.7705832012375
198,2278.6078580960657
199,2283.847329372057
200,2286.147498869208
