serial number,credit_amount
1,2351.0
2,2615.9
3,3079.2
4,2829.9
5,3104.2
6,2672.7
7,1173.8
8,3188.8
9,6697.8
10,1881.2
11,2119.6
12,1420.8
13,5243.5
14,2732.3
15,3730.6
16,2769.1
17,2158.2
18,3882.9
19,4384.0
20,1708.1
21,1818.2
22,1728.0
23,3472.0
24,1824.5
25,3470.7
26,2567.5
27,2531.5
28,5294.6
29,4691.3
30,6626.6
31,3782.5
32,2077.8
33,7359.0
34,2663.0
35,1946.9
36,3250.1
37,2744.0
38,2379.7
39,5264.5
40,2473.6
41,3809.3
42,3069.8
43,2183.7
44,3905.7
45,3195.6
46,3771.7
47,2057.5
48,1280.2
49,3129.0
50,3421.0
51,4217.025
52,5787.9
53,2637.4
54,4210.4
55,5212.4
56,2383.4
57,3397.5
58,2512.0
59,2333.7
60,3001.3
61,2108.3
62,4949.1
63,3570.8
64,2290.4
65,2434.3
66,2112.6
67,2058.5
68,3245.3
69,4051.9
70,2880.5
71,4629.966666666667
72,1595.5
73,2375.4
74,2629.8
75,2866.7
76,2474.2
77,3841.4
78,1408.7
79,3642.8
80,2446.2
81,6461.5
82,5482.1
83,1437.2
84,3370.4
85,4088.0
86,646.1
87,5436.6
88,3226.2
89,4433.6
90,6544.8
91,6478.8
92,3807.1
93,1785.0
94,5643.8
95,3164.8
96,4722.4
97,2288.5
98,1231.6
99,3898.2
100,3990.7
101,4840.1
102,7333.5
103,3490.4
104,1461.0
105,2184.6
106,2090.8
107,4561.3
108,3011.0666666666666
109,2479.8
110,1486.5
111,1815.5
112,4250.966666666667
113,2256.9
114,2787.1
115,4006.5
116,5442.5
117,2951.1
118,5392.3
119,3787.7
120,4339.6
121,1873.6
122,5490.0
123,2084.6
124,2707.9
125,5142.3
126,4118.8
127,2486.1
128,4484.4
129,2656.8
130,1797.5
131,4994.2
132,4471.4
133,1826.8
134,3207.5
135,2843.8
136,2273.3
137,1980.8
138,2999.3
139,3417.1
140,6628.8
141,3010.5
142,1482.8
143,3763.6
144,2137.0
145,3171.1
146,4131.4
147,4247.8
148,5138.3
149,4712.8
150,2114.7
151,3423.2
152,6528.8
153,4034.1
154,3428.6
155,3441.5
156,5807.2
157,3347.8
158,1861.3
159,1215.2
160,2142.8
161,1174.9
162,3013.2
163,1927.9
164,2755.65
165,3423.4
166,2111.2
167,1328.2
168,3244.7
169,1669.5
170,2886.7
171,3152.8
172,2450.3
173,5594.0
174,5640.0
175,3267.0
176,2120.2
177,2537.4
178,3745.3
179,2754.2
180,1777.3
181,2951.8
182,6254.5
183,2510.9
184,3005.8
185,3140.6
186,2950.5
187,5817.8
188,1361.0
189,5032.5
190,1257.6
191,2274.6
192,1992.4
193,2190.2
194,4582.1
195,2091.7
196,1643.0
197,2977.4
198,1788.3
199,3291.6
200,5028.8
