serial number,credit_amount
1,727.0
2,1537.0
3,1154.0
4,2424.0
5,1237.0
6,4623.0
7,1053.0
8,2424.0
9,8588.0
10,2337.0
11,1076.0
12,362.0
13,5150.0
14,1228.0
15,1984.0
16,1352.0
17,1245.0
18,2764.0
19,3804.0
20,1887.0
21,1245.0
22,2039.0
23,4151.0
24,1255.0
25,682.0
26,1055.0
27,2924.0
28,1950.0
29,7511.0
30,3863.0
31,947.0
32,701.0
33,6224.0
34,2930.0
35,10722.0
36,2315.0
37,2394.0
38,2743.0
39,5150.0
40,1331.0
41,2579.0
42,9436.0
43,1938.0
44,6070.0
45,3077.0
46,4020.0
47,1403.0
48,776.0
49,2901.0
50,1258.0
51,709.0
52,2197.0
53,3757.0
54,1437.0
55,2346.0
56,1473.0
57,741.0
58,6331.0
59,1285.0
60,4139.0
61,2136.0
62,1282.0
63,3384.0
64,1574.0
65,2603.0
66,2675.0
67,1331.0
68,1258.0
69,4716.0
70,4169.0
71,2064.0
72,5943.0
73,1647.0
74,1262.0
75,3378.0
76,250.0
77,5998.0
78,1308.0
79,12680.0
80,2273.0
81,7865.0
82,14179.0
83,5801.0
84,2394.0
85,5117.0
86,448.0
87,1934.0
88,4221.0
89,7476.0
90,11760.0
91,5150.0
92,6070.0
93,2315.0
94,6948.0
95,1291.0
96,6313.0
97,717.0
98,3123.0
99,939.0
100,4817.0
101,4370.0
102,4657.0
103,2760.0
104,660.0
105,1262.0
106,1552.0
107,7721.0
108,5595.0
109,8613.0
110,790.0
111,932.0
112,1800.0
113,3074.0
114,7174.0
115,1887.0
116,6314.0
117,4139.0
118,10366.0
119,4139.0
120,1977.0
121,2136.0
122,6313.0
123,2835.0
124,1203.0
125,683.0
126,3552.0
127,1800.0
128,5150.0
129,6527.0
130,2799.0
131,7721.0
132,682.0
133,1530.0
134,947.0
135,2030.0
136,2899.0
137,2141.0
138,2039.0
139,1238.0
140,12976.0
141,6313.0
142,1393.0
143,3092.0
144,2697.0
145,882.0
146,6187.0
147,1582.0
148,8318.0
149,2255.0
150,3059.0
151,1591.0
152,2728.0
153,1913.0
154,433.0
155,4583.0
156,4843.0
157,5507.0
158,1155.0
159,654.0
160,1216.0
161,1680.0
162,7228.0
163,1403.0
164,719.0
165,1225.0
166,2030.0
167,3017.0
168,1505.0
169,2835.0
170,2697.0
171,3915.0
172,3643.0
173,14555.0
174,5150.0
175,2238.0
176,3001.0
177,1113.0
178,1199.0
179,2032.0
180,1213.0
181,4741.5
182,2406.0
183,683.0
184,1203.0
185,1585.0
186,1553.0
187,1410.0
188,2901.0
189,1238.0
190,2118.0
191,2255.0
192,730.0
193,2323.0
194,1591.0
195,6527.0
196,2012.0
197,3965.0
198,1308.0
199,2279.0
200,2670.0
